messages_trained,elapsed_seconds,messages_per_second,n_subclusters
5000,0.28966689109802246,17261.206419024307,12
10000,0.3547999858856201,28184.8940186367,29
15000,0.41884756088256836,35812.55187064472,37
20000,0.48306751251220703,41402.08041726798,43
25000,0.5486376285552979,45567.4177249405,49
30000,0.6314387321472168,47510.54769476138,51
35000,0.7424707412719727,47139.90471872243,56
40000,0.830754280090332,48149.01464684672,64
45000,0.9173781871795654,49052.834075279585,75
50000,1.0059616565704346,49703.68370745068,97
55000,1.093108892440796,50315.20682005509,102
60000,1.1810362339019775,50802.844381639705,103
65000,1.2714173793792725,51124.045537063605,107
70000,1.360842227935791,51438.73298683588,112
75000,1.4487926959991455,51767.24054939896,112
80000,1.5396037101745605,51961.4232359375,121
85000,1.6267764568328857,52250.571762935106,123
90000,1.7150206565856934,52477.5020373074,123
95000,1.8024358749389648,52706.452041306016,123
100000,1.8886101245880127,52948.99074091023,129
105000,1.976024866104126,53136.98314283615,129
110000,2.063626766204834,53304.21266162308,135
115000,2.150116205215454,53485.48125959375,138
120000,2.238110065460205,53616.66606656601,166
125000,2.338984489440918,53441.996115963324,173
130000,2.42657732963562,53573.400860676906,177
135000,2.5129804611206055,53721.07029427514,180
140000,2.5996365547180176,53853.6818717668,184
145000,2.686941623687744,53964.700506217916,184
150000,2.773285150527954,54087.47815616591,190
155000,2.8601927757263184,54192.15142260446,190
160000,2.9472157955169678,54288.525544473945,190
165000,3.036533832550049,54338.27156189949,196
170000,3.1263535022735596,54376.44843309367,196
175000,3.214428663253784,54442.02324367572,196
180000,3.3043179512023926,54474.17671610586,196
185000,3.3941473960876465,54505.588123027635,196
190000,3.482600212097168,54556.936894454775,196
195000,3.5702459812164307,54618.08542770515,197
200000,3.658355951309204,54669.36587415083,197
205000,3.7462332248687744,54721.6330897767,197
210000,3.8335273265838623,54779.836456033685,197
215000,3.9213807582855225,54827.626607215956,197
220000,4.009791135787964,54865.700618784926,197
225000,4.0982747077941895,54901.15134841743,201
230000,4.186089038848877,54943.886254088655,201
235000,4.272876739501953,54998.07608009578,202
240000,4.360979080200195,55033.5132515661,202
245000,4.448052167892456,55080.28924851485,205
250000,4.535119295120239,55125.34152497344,206
255000,4.6225385665893555,55164.49377904195,206
260000,4.718972682952881,55096.73767327381,210
265000,4.80693244934082,55128.71312271919,211
270000,4.89469575881958,55161.753315003596,211
275000,4.983305215835571,55184.25785483212,215
280000,5.067867755889893,55250.06047653534,215
285000,5.154410362243652,55292.454416831286,215
290000,5.238577365875244,55358.54102090707,215
295000,5.3234639167785645,55415.04640807559,219
300000,5.414194345474243,55409.90604645948,220
305000,5.499655246734619,55458.02169710393,220
310000,5.584580183029175,55509.9917702051,220
315000,5.669440984725952,55561.03341557693,221
320000,5.7543556690216064,55610.04887527373,221
325000,5.839870452880859,55651.919442780556,221
330000,5.925878286361694,55687.94768523837,224
335000,6.011918544769287,55722.64452775548,224
340000,6.098072290420532,55755.32460218721,224
345000,6.190875768661499,55727.172195314604,228
350000,6.276221513748169,55766.03681583244,228
355000,6.368072271347046,55746.85475812077,228
360000,6.454980850219727,55770.88582497431,228
365000,6.5404088497161865,55806.90877082382,228
370000,6.625803470611572,55842.2841306895,230
375000,6.710943937301636,55878.87538675842,231
380000,6.7969138622283936,55907.726315574575,231
385000,6.881722450256348,55945.29607709747,231
390000,6.967435121536255,55974.686982662366,231
395000,7.052898406982422,56005.34379014265,231
400000,7.142176866531372,56005.33387438523,236
405000,7.231716632843018,56003.30053872446,236
410000,7.316788673400879,56035.512066994,236
415000,7.407584190368652,56023.662956079985,236
420000,7.493127346038818,56051.3628828195,236
425000,7.576614141464233,56093.65767673445,236
430000,7.661370038986206,56125.73179625454,236
435000,7.746484756469727,56154.502806798366,236
440000,7.831343650817871,56184.48373850231,242
445000,7.915519714355469,56218.67117492672,242
450000,8.00008487701416,56249.403214825856,247
455000,8.086184024810791,56268.81587210063,247
460000,8.172638416290283,56285.37279749161,248
465000,8.258890151977539,56302.96461669958,248
470000,8.344456911087036,56324.81598359322,248
475000,8.434034585952759,56319.427571607615,248
480000,8.51963758468628,56340.42472214798,254
485000,8.604225635528564,56367.652423866966,254
490000,8.6910240650177,56380.00727351594,254
495000,8.776204109191895,56402.5168331664,254
500000,8.861312866210938,56425.0475690289,259
505000,8.946240425109863,56448.29291448407,259
510000,9.031546592712402,56468.73376167061,265
515000,9.116387367248535,56491.67584192233,265
520000,9.202962875366211,56503.54207033654,265
525000,9.289934158325195,56512.7794290684,270
530000,9.375854015350342,56528.183900077056,271
535000,9.464426755905151,56527.459485720756,271
540000,9.55077052116394,56539.94081455439,271
545000,9.636898517608643,56553.464686192376,275
550000,9.722485542297363,56569.89641252153,275
555000,9.807526588439941,56589.19147404345,280
560000,9.893338918685913,56603.74162885569,280
565000,9.979513883590698,56615.98416422154,286
570000,10.06569218635559,56627.9982982845,286
575000,10.15189504623413,56639.67144866195,286
580000,10.254853010177612,56558.58737559365,286
585000,10.340986967086792,56571.00254182054,286
590000,10.430462121963501,56565.08725127649,286
595000,10.516351461410522,56578.55789465928,286
600000,10.60301423072815,56587.68223296025,286
605000,10.687811136245728,56606.53919568758,286
610000,10.774171113967896,56616.884356809715,288
615000,10.863270282745361,56612.78638872064,293
620000,10.94918441772461,56625.222148632376,293
625000,11.03461480140686,56639.94722501011,293
630000,11.122377157211304,56642.56759999666,293
635000,11.209457874298096,56648.59149486406,293
640000,11.294653415679932,56663.97864953631,293
645000,11.380549669265747,56675.6456185841,293
650000,11.47158432006836,56661.74626488965,293
655000,11.558044672012329,56670.48524099192,293
660000,11.647256135940552,56665.70669493592,293
665000,11.733266592025757,56676.458749514124,299
670000,11.819809436798096,56684.50101353735,301
675000,11.905411005020142,56696.90863384502,305
680000,11.990535974502563,56711.3931725817,305
685000,12.075834512710571,56724.85816851785,305
690000,12.162184715270996,56733.228129122814,305
695000,12.248836040496826,56740.0851560268,305
700000,12.334986925125122,56749.14811414763,305
705000,12.420783281326294,56759.70540923245,305
710000,12.50644040107727,56770.749888101054,305
715000,12.592222690582275,56781.079684585675,305
720000,12.67747950553894,56793.62366039902,305
725000,12.762501001358032,56807.04745275665,310
730000,12.847314834594727,56821.212011889496,310
735000,12.932713031768799,56832.62268284279,310
740000,13.018710136413574,56841.268623855925,310
745000,13.105688571929932,56845.54427728874,310
750000,13.195098400115967,56839.28814001179,310
755000,13.280930995941162,56848.42427317321,310
760000,13.36670732498169,56857.682413648654,310
765000,13.453784465789795,56861.324183187084,310
770000,13.543895959854126,56852.179187021255,318
775000,13.629065036773682,56863.76856438133,318
780000,13.714246034622192,56875.16455741403,323
785000,13.799824237823486,56884.78247776658,323
790000,13.885665893554688,56893.202389861224,323
795000,13.971840381622314,56900.16334896678,323
800000,14.057491302490234,56909.15845406092,325
805000,14.142806053161621,56919.39753497804,325
810000,14.22870683670044,56927.169088251074,325
815000,14.315392017364502,56931.72768244201,331
820000,14.400921821594238,56940.79935705274,331
825000,14.486555814743042,56949.35432205309,331
830000,14.574153423309326,56950.134659110336,331
835000,14.659465074539185,56959.78644201981,331
840000,14.742977380752563,56976.2795062446,331
845000,14.828120946884155,56986.31694648812,336
850000,14.91600489616394,56985.76836875408,336
855000,15.00046181678772,56998.2451502346,341
860000,15.084865808486938,57010.782258079686,341
865000,15.172811508178711,57009.86923443508,346
870000,15.260444164276123,57010.13618179103,346
875000,15.346306324005127,57016.977344659164,346
880000,15.432946920394897,57020.8661080189,346
885000,15.519577741622925,57024.74736966994,352
890000,15.6065514087677,57027.33273284202,352
895000,15.693684816360474,57029.3089527944,352
900000,15.779621362686157,57035.58908759477,352
905000,15.866088151931763,57039.894858381485,352
910000,15.95350694656372,57040.7499146141,357
915000,16.040740966796875,57042.25271725172,359
920000,16.128378868103027,57042.31079414169,359
925000,16.21534252166748,57044.74011350572,360
930000,16.302232027053833,57047.40298485809,360
935000,16.390477895736694,57045.31655194762,360
940000,16.47764825820923,57046.97571339941,360
945000,16.563650846481323,57052.63946690532,360
950000,16.650512218475342,57055.30181503268,360
955000,16.736698627471924,57060.237580692614,364
960000,16.82249164581299,57066.45722953519,364
965000,16.909223079681396,57069.446387490825,366
970000,16.99673342704773,57069.78956652881,367
975000,17.0838942527771,57071.296835117515,367
980000,17.171077013015747,57072.715896455185,367
985000,17.257752180099487,57075.799311560266,367
990000,17.34436011314392,57079.07317086649,367
995000,17.430601119995117,57083.516119166336,367
1000000,17.51685619354248,57087.869475610925,367
